,Code Postal,Ville,Pièces,Chambres,Superficie,Loyer
402,75002,PARIS,2,1,"49,7",1740
403,75002,PARIS,2,1,"38,07",1210
404,75002,PARIS,1,,"16,57",802
405,75002,PARIS,1,,"21,91",1200
406,75002,PARIS,1,,20,950
407,75002,PARIS,2,1,38,1350
408,75002,PARIS,2,1,"45,41",1545
409,75002,PARIS,1,,27,889
410,75002,PARIS,1,,21,883
411,75002,PARIS,1,,34,1150
412,75002,PARIS,1,,20,900
413,75002,PARIS,2,1,65,2300
414,75002,PARIS,1,,18,950
415,75002,PARIS,3,,"45,79",1515
416,75002,PARIS,2,1,72,2250
417,75002,PARIS,1,,26,1180
418,75002,PARIS,1,,26,1180
419,75002,PARIS,1,,"49,85",1230
420,75002,PARIS,1,,20,860
421,75002,PARIS,1,,26,975
422,75002,PARIS,1,,18,797
423,75002,PARIS,2,1,40,1790
424,75002,PARIS,1,,27,1300
425,75002,PARIS,2,1,53,1530
426,75002,PARIS,1,,40,1170
427,75002,PARIS,2,1,65,2150
428,75002,PARIS,2,1,"43,7",1495
429,75002,PARIS,1,,"26,51",1049
430,75002,PARIS,3,2,55,1885
431,75002,PARIS,3,2,80,2730
432,75002,PARIS,2,1,77,3000
433,75002,PARIS,1,,31,1489
434,75002,PARIS,2,1,28,1400
435,75002,PARIS,2,1,"48,06",1601
436,75002,PARIS,3,2,90,2730
437,75002,PARIS,2,1,60,1890
438,75002,PARIS,2,1,35,1400
439,75002,PARIS,2,1,37,1500
440,75002,PARIS,1,,22,1120
441,75002,PARIS,2,1,22,1150
442,75002,PARIS,1,,26,1000
443,75002,PARIS,1,,18,1150
444,75002,PARIS,1,,25,1190
445,75002,PARIS,2,1,42,1650
446,75002,PARIS,1,,28,1300
447,75002,PARIS,2,1,40,1700
448,75002,PARIS,1,,"30,13",1250
449,75002,PARIS,1,,14,600
450,75003,PARIS,4,3,114,3258
451,75003,PARIS,1,,"18,5",1050
452,75003,PARIS,5,3,122,4500
453,75003,PARIS,2,1,63,2350
454,75003,PARIS,2,1,35,2600
455,75003,PARIS,4,2,74,3200
456,75003,PARIS,1,,30,1295
457,75003,PARIS,2,1,"34,63",1490
458,75003,PARIS,3,2,"61,09",2296
459,75003,PARIS,2,1,23,1050
460,75003,PARIS,1,,30,1950
461,75003,PARIS,4,3,114,3258
462,75003,PARIS,2,1,"32,39",1090
463,75003,PARIS,4,3,78,3200
464,75003,PARIS,2,1,30,1447
465,75003,PARIS,4,3,78,2950
466,75003,PARIS,3,2,118,3767
467,75003,PARIS,1,,35,1290
468,75003,PARIS,3,2,"87,17",2500
469,75003,PARIS,2,1,"20,13",1000
470,75003,PARIS,2,1,45,1960
471,75003,PARIS,3,1,79,2590
472,75003,PARIS,2,1,40,1905
473,75003,PARIS,2,1,"64,85",1822
474,75003,PARIS,2,1,49,1760
475,75003,PARIS,5,4,124,3310
